FACILITYID,NAME,Longitude,Latitude
204,Peakview,-104.75491254800,39.60906132610
509,Como,-105.88604817200,39.31226062100
101,Woodland Park,-105.06837291700,39.02475615790
405,Lowland,-104.06608518300,39.56452928550
102,Divide,-105.17633822300,38.93628207080
309,Daniels Park,-104.90559915200,39.49424062280
404,Deertrail,-104.13460966300,39.69615673690
313,Crystal Valley,-104.83453689100,39.30603026470
205,Grandview,-104.79849195400,39.55108534090
507,Grant,-105.68241261600,39.45996757270
208,Soda Lakes,-105.15806425600,39.63256135860
503,Conifer,-105.30276485500,39.53637754590
403,Bennett,-104.43343927800,39.72363488050
312,Kiowa,-104.45173686500,39.41851818710
202,Ponderosa,-104.75599954100,39.55936347490
103,Lake George,-105.31321038900,38.95727350230
401,Strasburg,-104.34098796600,39.72430792230
206,Orchard,-104.79233366600,39.60932151370
105,Hartsel,-105.86527863600,39.07716369700
305,Bayou,-104.75666234500,39.43367643530
308,Greenland,-104.87439909600,39.18029986310
209,Compark,-104.81063843900,39.55780735750
9863,Smoky Hill,-104.71507238800,39.63123266380
315,Palmer Lake,-104.79956645600,39.17282522480
402,Strasburg Trans.,-104.34084054100,39.71636473920
314,Lemon Gulch,-104.81509610300,39.48148777240
104,Guffey,-105.37581103300,38.77126638380
307,Sedalia,-104.97044976300,39.42864328210
510,Roberts Tunnel,-105.67241978700,39.45969273080
304,Parker,-104.76030557200,39.51047228420
203,Deer Creek,-105.12262379800,39.55400348950
501,Tiny Town,-105.22058921700,39.58737794240
311,Plum Creek,-104.90387080600,39.42351164590
504,Shaffers Crossing,-105.37395114400,39.47148889600
506,Shawnee,-105.53064026900,39.41226861200
302,Sulphur,-104.78267490300,39.50947960730
505,Bailey,-105.45339804000,39.43856981050
502,Floyd Hill,-105.42671768000,39.73347763930
310,Roxborough,-105.05534086900,39.46477186240
306,Elizabeth,-104.60874483400,39.41169760110
9625,Waterton,-105.07142802300,39.49717155080
207,Homestead,-104.71758835900,39.52535180380
508,Fairplay,-105.98955802200,39.22108772650
303,Wolfensberger,-104.86890974900,39.38129278870
317,Crowfoot Valley,-104.83651911600,39.40667252380
201,Davidson,-104.75690544000,39.59464570860
407,Victory,-104.43411555200,39.79533783700
318,Happy Canyon,-104.86938892100,39.44992810190
511,Bergen Park,-105.34807727900,39.69366754180
301,Castle Rock,-104.82610264700,39.37381342950
406,Brick Center,-104.45257345800,39.62287716390
